case_id,config_hash,environment_id,experiment,stage,algorithm,n,S,x,seed,repeat,measurement_mode,comparisons,cpu_seconds,wall_seconds,sort_batch_size,cpu_total_seconds,wall_total_seconds,order_position,length_ok,order_ok,integrity_method,integrity_ok,input_sum,input_sum_squares,input_xor,dataset_sha256,output_sha256,rss_bytes_after,python_version,platform,completed_utc
tune:1000:1:hybrid:8:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,8,1000000,310101,1,timed,,0.00171875,0.0017339588000904768,500,0.859375,0.8669794000452384,7,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45907968,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:26.084743+00:00
tune:1000:1:hybrid:32:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,32,1000000,310101,1,counted,13296,,,1,,,8,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,46170112,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:26.111255+00:00
tune:1000:1:hybrid:12:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,12,1000000,310101,1,timed,,0.00171875,0.0017747945999726654,500,0.859375,0.8873972999863327,9,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45830144,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:27.032450+00:00
tune:1000:1:hybrid:16:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,16,1000000,310101,1,counted,10353,,,1,,,10,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45907968,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:27.066716+00:00
tune:1000:1:hybrid:48:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,48,1000000,310101,1,timed,,0.00203125,0.0021053506000898777,500,1.015625,1.052675300044939,11,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45912064,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:28.165052+00:00
tune:1000:1:hybrid:32:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,32,1000000,310101,1,timed,,0.001875,0.0019155007998924703,500,0.9375,0.9577503999462351,12,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45838336,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:29.164580+00:00
tune:1000:1:hybrid:64:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,64,1000000,310101,1,timed,,0.0028125,0.0028597919999156147,500,1.40625,1.4298959999578074,13,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45838336,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:30.636645+00:00
tune:1000:1:hybrid:12:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,12,1000000,310101,1,counted,9109,,,1,,,14,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45936640,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:30.659530+00:00
tune:1000:1:hybrid:24:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,24,1000000,310101,1,counted,10353,,,1,,,15,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45936640,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:30.684466+00:00
tune:1000:1:hybrid:64:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,64,1000000,310101,1,counted,20528,,,1,,,16,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45936640,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:30.720124+00:00
